INDCLIM,INDSINOP,NOMBRE,PROVINCIA,lat,lon,alt
1351,08004,ESTACA DE BARES,A CORUÑA,43.78722222222222,-7.683333333333334,80
1354C,08005,FERROL-LA GRAÑA,A CORUÑA,43.47527777777778,-8.260277777777778,4
1363X,,"AS PONTES,A AEROSA",A CORUÑA,43.446666666666665,-7.859999999999999,343
1387,08001,A CORUÑA,A CORUÑA,43.367222222222225,-8.419444444444444,58
1387E,08002,A CORUÑA/ALVEDRO,A CORUÑA,43.30694444444444,-8.372222222222224,98
1390X,,CARBALLO,A CORUÑA,43.20472222222222,-8.709444444444443,98
1393,08006,CABO VILAN,A CORUÑA,43.160555555555554,-9.210833333333333,50
1399,,VIMIANZO-CASTRELO,A CORUÑA,43.058055555555555,-9.045555555555556,287
1400,08040,FISTERRA,A CORUÑA,42.92638888888889,-9.289444444444444,230
1406X,,MAZARICOS-A PICOTA,A CORUÑA,42.93666666666666,-8.991666666666665,340
1410X,,SOBRADO DOS MONXES,A CORUÑA,43.03916666666667,-8.020555555555557,500
1428,08042,SANTIAGO DE COMPOSTELA/LABACOLLA,A CORUÑA,42.88777777777778,-8.410833333333334,370
1435C,,NOIA,A CORUÑA,42.80138888888889,-8.874444444444444,128
1442U,,BOIRO,A CORUÑA,42.644999999999996,-8.890555555555554,10
1473A,08039,PADRÓN,A CORUÑA,42.739444444444445,-8.627500000000001,100
1475X,08041,SANTIAGO DE COMPOSTELA,A CORUÑA,42.875277777777775,-8.550277777777778,240
1476R,,CASAS DO PORTO,A CORUÑA,42.75055555555556,-8.713055555555554,210
1044X,,ARAMAYONA ECHAGÜEN,ÁLAVA,43.05777777777777,-2.5894444444444447,617
1060X,,AMURRIO (INSTITUTO),ÁLAVA,43.05138888888889,-3.004166666666667,240
9060X,,LALASTRA-PARQUE VALDEREJO,ÁLAVA,42.87638888888889,-3.230277777777778,910
9073X,,OPAKUA,ÁLAVA,42.83083333333334,-2.3583333333333334,660
9091O,08080,VITORIA/FORONDA,ÁLAVA,42.871944444444445,-2.7333333333333334,513
9122I,,LABASTIDA- REMELLURI,ÁLAVA,42.603611111111114,-2.7733333333333334,610
9145X,,LEZA (DFA2),ÁLAVA,42.568333333333335,-2.631666666666667,575
9178X,,SANTA CRUZ DE CAMPEZO (DFA),ÁLAVA,42.67166666666667,-2.3447222222222224,570
4007Y,,OSSA DE MONTIEL,ALBACETE,38.965833333333336,-2.745,905
4091Y,,VILLARROBLEDO,ALBACETE,39.26305555555555,-2.591388888888889,718
4096Y,,"MUNERA , SAN BARTOLOMÉ (AUTOMÁTICA)",ALBACETE,39.016666666666666,-2.488888888888889,918
7066Y,,EMBALSE DE LA FUENSANTA (AUTOMÁTICA),ALBACETE,38.393055555555556,-2.218888888888889,680
7067Y,,CAÑADAS DEL NERPIO,ALBACETE,38.08111111111111,-2.4241666666666664,212
7072Y,,SEGE,ALBACETE,38.29666666666667,-2.2941666666666665,960
7096B,08355,HELLÍN,ALBACETE,38.50861111111111,-1.7049999999999998,520
7103Y,,TOBARRA,ALBACETE,38.58833333333334,-1.6880555555555556,615
8177A,08278,CHINCHILLA/CENAD,ALBACETE,38.93694444444444,-1.6588888888888889,880
8178D,08279,"ALBACETE,OBS.",ALBACETE,39.00694444444444,-1.8608333333333333,674
8191Y,,LAS ERAS,ALBACETE,39.2,-1.4341666666666666,680
8198Y,,ALMANSA,ALBACETE,38.85194444444445,-1.085,715
7244X,,ORIHUELA DESAMPARADOS,ALICANTE,38.06777777777778,-0.9813888888888889,26
7247X,08357,PINOSO,ALICANTE,38.40416666666667,-1.0375,575
7261X,,"ROJALES, EL MOLINO",ALICANTE,38.089444444444446,-0.7155555555555555,31
8008Y,,VILLENA,ALICANTE,38.57694444444445,-0.8655555555555555,486
8013X,,NOVELDA,ALICANTE,38.386944444444445,-0.7563888888888889,233
8018X,,"ELCHE, ALTABIX",ALICANTE,38.28861111111111,-0.6794444444444444,110
8019,08360,ALICANTE/EL ALTET,ALICANTE,38.282777777777774,-0.5708333333333333,43
8025,08359,ALICANTE,ALICANTE,38.3725,-0.49416666666666664,81
8050X,08370,"JÁVEA, AYUNTAMIENTO",ALICANTE,38.784166666666664,0.16694444444444442,15
8057C,,PEGO,ALICANTE,38.84722222222222,-0.11805555555555555,60
8059C,,ALCOY,ALICANTE,38.70611111111111,-0.4797222222222222,600
5060X,,VÉLEZ BLANCO TOPARES,ALMERÍA,37.86083333333333,-2.2280555555555557,1190
6277B,08486,"ADRA,CLUB NAÚTICO",ALMERÍA,36.748333333333335,-3.0194444444444444,8
6277X,,"ADRA,C.NAUTICO",ALMERÍA,36.74888888888889,-3.0191666666666666,8
6291B,,EL EJIDO,ALMERÍA,36.78333333333333,-2.754722222222222,98
6293X,08492,"ROQUETAS DE MAR, FARO SABINAR",ALMERÍA,36.68666666666666,-2.7016666666666667,7
6302A,08427,ABLA,ALMERÍA,37.141666666666666,-2.781111111111111,885
6307X,,LÁUJAR DE ANDARAX,ALMERÍA,37.027499999999996,-2.910833333333333,1510
6325O,08487,ALMERÍA/AEROPUERTO,ALMERÍA,36.84638888888889,-2.3569444444444447,21
6329X,,"CABO DE GATA, FARO",ALMERÍA,36.723333333333336,-2.1916666666666664,42
6332X,08488,"CARBONERAS,C.TÉRM.",ALMERÍA,36.966944444444444,-1.9041666666666666,40
6340X,,"GARRUCHA, PUERTO",ALMERÍA,37.18,-1.8152777777777778,12
6364X,,ALBOX,ALMERÍA,37.407777777777774,-2.1502777777777777,508
6367B,08428,HUERCAL OVERA,ALMERÍA,37.39055555555556,-1.9436111111111112,300
6381,08490,"ALBORÁN,ISLA",ALMERÍA,35.93833333333333,-3.036111111111111,15
1179B,,CARREÑA DE CABRALES,ASTURIAS,43.31194444444444,-4.850833333333333,458
1183X,08016,LLANES,ASTURIAS,43.42027777777778,-4.748055555555555,10
1186P,,"AMIEVA, PANIZALES",ASTURIAS,43.26777777777777,-5.118055555555555,360
1199X,,BARGAEDO PILOÑA,ASTURIAS,43.37722222222222,-5.397222222222223,270
1203D,,COLUNGA,ASTURIAS,43.494166666666665,-5.245833333333334,35
1208H,08014,"GIJÓN, MUSEL",ASTURIAS,43.56083333333333,-5.698611111111111,5
1210X,08012,CABO PEÑAS,ASTURIAS,43.65555555555555,-5.849166666666666,100
1212E,08011,ASTURIAS/AVILÉS,ASTURIAS,43.566944444444445,-6.0441666666666665,127
1221D,08031,PAJARES - VALGRANDE,ASTURIAS,42.97694444444445,-5.7780555555555555,1480
1223P,,RONZÓN,ASTURIAS,43.134166666666665,-5.820833333333333,370
1226X,,CUEVAS DE FELECHOSA,ASTURIAS,43.09527777777778,-5.476944444444444,750
1234P,,MIERES-BAÍÑA,ASTURIAS,43.27444444444444,-5.819166666666667,172
1249I,08015,OVIEDO,ASTURIAS,43.35444444444445,-5.872777777777778,336
1272B,,SOTO DE LA BARCA,ASTURIAS,43.290277777777774,-6.385833333333334,285
1276F,,POLA DE SOMIEDO-DEPURADORA,ASTURIAS,43.10055555555556,-6.255277777777778,668
1279X,,CAMUÑO,ASTURIAS,43.42583333333333,-6.228888888888889,230
1283U,08010,CABO BUSTO,ASTURIAS,43.56916666666667,-6.47,63
1302F,,"DEGAÑA, COTO CORTÉS",ASTURIAS,42.95638888888889,-6.470555555555555,1305
1309C,,SAN ANTOLIN DE IBIAS-LINARES,ASTURIAS,43.026944444444446,-6.884722222222222,762
1327A,,ONETA,ASTURIAS,43.465833333333336,-6.671388888888889,374
1331D,08009,FIGUERAS DE CASTROPOL,ASTURIAS,43.5375,-7.02,25
1341B,,OURIA DE TARAMUNDI,ASTURIAS,43.41555555555556,-7.060833333333333,335
1542,08052,PUERTO DE LEITARIEGOS,ASTURIAS,42.99722222222222,-6.418611111111112,1550
2430Y,,MUÑOTELLO,ÁVILA,40.544999999999995,-5.042777777777777,1178
2444,08210,ÁVILA,ÁVILA,40.659166666666664,-4.680000000000001,1130
2453E,,GOTARRENDURA,ÁVILA,40.82972222222222,-4.740555555555556,920
2456B,,AREVALO,ÁVILA,41.07333333333334,-4.728611111111111,820
2512Y,,RIVILLA DE BARAJAS,ÁVILA,40.88388888888889,-5.017222222222222,925
2811A,08206,NAVARREDONDA DE GREDOS,ÁVILA,40.35055555555556,-5.143055555555556,1550
2828Y,,BARCO DE AVILA,ÁVILA,40.35722222222223,-5.517777777777778,1012
3319D,,PUERTO EL PICO,ÁVILA,40.34138888888889,-5.011388888888889,1285
3323D,,NAVALUENGA,ÁVILA,40.41277777777778,-4.691666666666667,776
3337U,,CEBREROS,ÁVILA,40.46888888888889,-4.454166666666667,850
3391,08208,SOTILLO DE LA ADRADA,ÁVILA,40.28861111111111,-4.590833333333333,630
3422D,,CANDELEDA,ÁVILA,40.14083333333333,-5.31,350
4244X,08264,HERRERA DEL DUQUE,BADAJOZ,39.17055555555555,-5.060833333333333,447
4260,,PERALEDA DEL ZAUCEJO,BADAJOZ,38.48166666666667,-5.576388888888888,542
