season_end_year,perc_complete,CP_1987,CP_1988,Utah,gap
2012,100,73.29,70.44,1313,-2.85
2013,100,76.01,74.57,1300,-1.44
2014,100,73.18,66.67,1276,-6.51
2015,100,70.93,67.85,1169.5,-3.08
2016,100,65.01,55.96,863,-9.05
2017,100,73.81,65.39,1192,-8.42
2018,100,70.43,66.98,1255.5,-3.45
2019,100,65.07,55.41,889.5,-9.66
2020,100,65.97,54.37,857.5,-11.6
2021,100,62.65,56.84,952.5,-5.81
2022,100,70.77,64.91,1169,-5.86
2023,100,65.42,58.27,994.5,-7.15
2024,100,60.1,46.5,689,-13.6
2025,100,58.91,50.25,709.5,-8.66
