situation,both_ref,both_sweep,only_ref,only_sweep,d_both,d_only
observaciones_present,227215.97,227215.97,2215.26,2215.26,0,0
presente_present,224826.61,224826.61,4329.57,4329.57,0,0
presente_current,224245.08,224245.08,4840.42,4840.42,0,0
observaciones_obsref,227582.85,227582.85,1876.07,1876.07,0,0
historical_ref,225864.43,225864.43,3412.55,3412.55,0,0
pooled_nearterm,221312.21,221312.21,7490.2,7490.2,0,0
ssp126_near,212356.48,212356.48,15300.87,15300.87,0,0
ssp245_near,210450.23,210450.23,17148.37,17148.37,0,0
ssp370_near,208013.09,208013.09,18701.26,18701.26,0,0
ssp126_far,209845.55,209845.55,17634.63,17634.63,0,0
ssp245_far,201772.78,201772.78,22369.19,22369.19,0,0
ssp370_far,184514.89,184514.89,23302.24,23302.24,0,0
