situation,threshold,km2_at_or_above,pct_at_or_above
ssp126_near,20,229518.04,99.9313
ssp126_near,20.5,229491.73,99.9198
ssp126_near,21,229459.45,99.9058
ssp126_near,21.5,229430.33,99.8931
ssp126_near,22,229408.27,99.8835
ssp126_near,22.5,229383.2,99.8726
ssp126_near,23,229351.14,99.8586
ssp126_near,23.5,229325.35,99.8474
ssp126_near,24,229291.76,99.8327
ssp126_near,24.5,229263.27,99.8203
ssp126_near,25,229228.43,99.8052
ssp126_near,25.5,229186.84,99.7871
ssp126_near,26,229148.51,99.7704
ssp126_near,26.5,229098.47,99.7486
ssp126_near,27,229051.06,99.7279
ssp126_near,27.5,228995.2,99.7036
ssp126_near,28,228929.89,99.6752
ssp126_near,28.5,228852.69,99.6416
ssp126_near,29,228764.87,99.6033
ssp126_near,29.5,228677.22,99.5652
ssp126_near,30,228584.44,99.5248
ssp126_near,30.4,228509.14,99.492
ssp126_near,30.5,228489.07,99.4833
ssp126_near,31,228395.09,99.4423
ssp126_near,31.5,228286.73,99.3952
ssp126_near,32,228162.73,99.3412
ssp126_near,32.5,228062.83,99.2977
ssp126_near,33,227935.44,99.2422
ssp126_near,33.5,227784.63,99.1765
ssp126_near,33.7,227728.74,99.1522
ssp126_near,34,227641.91,99.1144
ssp126_near,34.5,227457.5,99.0341
ssp126_near,35,227293.78,98.9628
ssp126_near,35.5,227104.75,98.8805
ssp126_near,36,226929.57,98.8043
ssp126_near,36.5,226710.51,98.7089
ssp126_near,37,226491.84,98.6137
ssp126_near,37.5,226240.5,98.5042
ssp126_near,38,225940.24,98.3735
ssp126_near,38.5,225677.34,98.259
ssp126_near,39,225352.42,98.1176
ssp126_near,39.5,224935.32,97.936
ssp126_near,40,224487.1,97.7408
ssp126_near,40.5,223991.67,97.5251
ssp126_near,40.64,223842.57,97.4602
ssp126_near,41,223445.6,97.2873
ssp126_near,41.5,222862.89,97.0336
ssp126_near,42,222206.26,96.7477
ssp126_near,42.5,221477.06,96.4303
ssp126_near,43,220714.57,96.0983
ssp126_near,43.5,219796.94,95.6987
ssp126_near,44,218797.64,95.2636
ssp126_near,44.2,218379.59,95.0816
ssp126_near,44.5,217822.57,94.8391
ssp126_near,45,216875.12,94.4266
ssp126_near,45.5,215983.55,94.0384
ssp126_near,46,214981.65,93.6022
ssp126_near,46.5,214066.59,93.2038
ssp126_near,47,213261.05,92.853
ssp126_near,47.5,212423.07,92.4882
ssp126_near,48,211574.36,92.1187
ssp126_near,48.5,210705.49,91.7404
ssp126_near,49,209823.19,91.3562
ssp126_near,49.5,209032.4,91.0119
ssp126_near,50,208311.26,90.6979
ssp126_near,50.5,207625.2,90.3992
ssp126_near,50.8,207224.69,90.2248
ssp126_near,51,206941.34,90.1015
ssp126_near,51.5,206285.49,89.8159
ssp126_near,52,205547.34,89.4945
ssp126_near,52.5,204773.69,89.1577
ssp126_near,53,204052.98,88.8439
ssp126_near,53.5,203336.38,88.5319
ssp126_near,54,202644.62,88.2307
ssp126_near,54.44,201981.84,87.9421
ssp126_near,54.5,201884.12,87.8996
ssp126_near,55,201086.24,87.5522
ssp126_near,55.5,200195.66,87.1644
ssp126_near,56,199344.13,86.7937
ssp126_near,56.5,198454.83,86.4065
ssp126_near,57,197468.27,85.9769
ssp126_near,57.5,196335.16,85.4836
ssp126_near,58,194950.31,84.8806
ssp126_near,58.5,193651.31,84.315
ssp126_near,59,191956.26,83.577
ssp126_near,59.5,190152.35,82.7916
ssp126_near,60,188580.02,82.107
ssp126_near,60.5,187091.42,81.4589
ssp126_near,61,185522.17,80.7756
ssp126_near,61.5,183964.5,80.0974
ssp126_near,62,182412.82,79.4218
ssp126_near,62.5,180822.56,78.7294
ssp126_near,63,178951.22,77.9147
ssp126_near,63.5,176832.42,76.9922
ssp126_near,64,174655.8,76.0445
ssp126_near,64.5,172658.08,75.1747
ssp126_near,65,170670.06,74.3091
ssp126_near,65.5,168500.43,73.3644
ssp126_near,66,166038.59,72.2926
ssp126_near,66.5,163499.09,71.1869
ssp126_near,67,160597.36,69.9235
ssp126_near,67.5,157627.54,68.6304
ssp126_near,68,154315.76,67.1885
ssp126_near,68.5,150770.17,65.6447
ssp126_near,69,147277,64.1238
ssp126_near,69.5,143143.1,62.324
ssp126_near,70,138742.04,60.4077
ssp126_near,70.5,134690.41,58.6437
ssp126_near,71,129920.99,56.5671
ssp126_near,71.5,124623.73,54.2607
ssp126_near,72,119677.76,52.1072
ssp126_near,72.5,113820.55,49.557
ssp126_near,73,105843.74,46.084
ssp126_near,73.5,95273.12,41.4816
ssp126_near,74,85050.34,37.0306
ssp126_near,74.5,74005.46,32.2217
ssp126_near,75,59610.24,25.9541
ssp245_near,20,229524.05,99.9339
ssp245_near,20.5,229496.46,99.9219
ssp245_near,21,229462.53,99.9071
ssp245_near,21.5,229426.87,99.8916
ssp245_near,22,229399.12,99.8795
ssp245_near,22.5,229371.65,99.8675
ssp245_near,23,229346.84,99.8567
ssp245_near,23.5,229317.71,99.844
ssp245_near,24,229285.55,99.83
ssp245_near,24.5,229251.3,99.8151
ssp245_near,25,229216.47,99.8
ssp245_near,25.5,229169.74,99.7796
ssp245_near,26,229116.04,99.7562
ssp245_near,26.5,229062.64,99.733
ssp245_near,27,229009.98,99.7101
ssp245_near,27.5,228945.6,99.682
ssp245_near,28,228876.01,99.6517
ssp245_near,28.5,228776.01,99.6082
ssp245_near,29,228668.52,99.5614
ssp245_near,29.5,228570.74,99.5188
ssp245_near,30,228476.07,99.4776
ssp245_near,30.4,228406.12,99.4471
ssp245_near,30.5,228386.56,99.4386
ssp245_near,31,228291.26,99.3971
ssp245_near,31.5,228195.81,99.3556
ssp245_near,32,228106.06,99.3165
ssp245_near,32.5,227987.53,99.2649
ssp245_near,33,227870.25,99.2138
ssp245_near,33.5,227738.95,99.1567
ssp245_near,33.7,227669.97,99.1266
ssp245_near,34,227552.34,99.0754
ssp245_near,34.5,227369.5,98.9958
ssp245_near,35,227180.4,98.9135
ssp245_near,35.5,226966.63,98.8204
ssp245_near,36,226757.61,98.7294
ssp245_near,36.5,226529.4,98.63
ssp245_near,37,226280.57,98.5217
ssp245_near,37.5,225989.32,98.3949
ssp245_near,38,225655.34,98.2495
ssp245_near,38.5,225274.95,98.0838
ssp245_near,39,224826.04,97.8884
ssp245_near,39.5,224322.23,97.669
ssp245_near,40,223847.93,97.4625
ssp245_near,40.5,223257.08,97.2053
ssp245_near,40.64,223083.4,97.1297
ssp245_near,41,222616.59,96.9264
ssp245_near,41.5,221824.19,96.5814
ssp245_near,42,220979.31,96.2135
ssp245_near,42.5,220003.91,95.7889
ssp245_near,43,218980,95.343
ssp245_near,43.5,218012.62,94.9219
ssp245_near,44,216998.14,94.4802
ssp245_near,44.2,216608.93,94.3107
ssp245_near,44.5,216015.58,94.0523
ssp245_near,45,215143.94,93.6728
ssp245_near,45.5,214285.58,93.2991
ssp245_near,46,213349.77,92.8917
ssp245_near,46.5,212399.02,92.4777
ssp245_near,47,211423.56,92.053
ssp245_near,47.5,210516.22,91.6579
ssp245_near,48,209711.84,91.3077
ssp245_near,48.5,208984.72,90.9911
ssp245_near,49,208222.36,90.6592
ssp245_near,49.5,207457.32,90.3261
ssp245_near,50,206739.7,90.0137
ssp245_near,50.5,206039.87,89.709
ssp245_near,50.8,205576.48,89.5072
ssp245_near,51,205280.89,89.3785
ssp245_near,51.5,204551.83,89.0611
ssp245_near,52,203908.6,88.781
ssp245_near,52.5,203289.84,88.5116
ssp245_near,53,202575.53,88.2006
ssp245_near,53.5,201858.64,87.8885
ssp245_near,54,201030.61,87.5279
ssp245_near,54.44,200323.38,87.22
ssp245_near,54.5,200238.8,87.1832
ssp245_near,55,199438.2,86.8346
ssp245_near,55.5,198567.15,86.4554
ssp245_near,56,197516.07,85.9977
ssp245_near,56.5,196325.43,85.4793
ssp245_near,57,195150.73,84.9679
ssp245_near,57.5,193829.67,84.3927
ssp245_near,58,192245.86,83.7031
ssp245_near,58.5,190482.29,82.9353
ssp245_near,59,188945.24,82.266
ssp245_near,59.5,187405.62,81.5957
ssp245_near,60,185886.05,80.9341
ssp245_near,60.5,184314.31,80.2497
ssp245_near,61,182754.84,79.5708
ssp245_near,61.5,181208.47,78.8975
ssp245_near,62,179589.55,78.1926
ssp245_near,62.5,177478.02,77.2732
ssp245_near,63,175442.75,76.3871
ssp245_near,63.5,173391.51,75.494
ssp245_near,64,171226.31,74.5513
ssp245_near,64.5,168977.9,73.5723
ssp245_near,65,166693.78,72.5778
ssp245_near,65.5,164085.35,71.4421
ssp245_near,66,161456.94,70.2977
ssp245_near,66.5,158464.39,68.9948
ssp245_near,67,155295.67,67.6151
ssp245_near,67.5,151993.02,66.1772
ssp245_near,68,148560.13,64.6825
ssp245_near,68.5,144856.46,63.0699
ssp245_near,69,140911.37,61.3523
ssp245_near,69.5,137553.66,59.8903
ssp245_near,70,133951.99,58.3222
ssp245_near,70.5,129621.04,56.4365
ssp245_near,71,125114.64,54.4744
ssp245_near,71.5,120387.65,52.4163
ssp245_near,72,115283.62,50.194
ssp245_near,72.5,109333.66,47.6035
ssp245_near,73,101968.13,44.3965
ssp245_near,73.5,92708.93,40.3651
ssp245_near,74,82957.16,36.1192
ssp245_near,74.5,73408.65,31.9618
ssp245_near,75,62322.7,27.1351
ssp370_near,20,229387.14,99.8743
ssp370_near,20.5,229359.63,99.8623
ssp370_near,21,229334.04,99.8512
ssp370_near,21.5,229293.84,99.8337
ssp370_near,22,229267.69,99.8223
ssp370_near,22.5,229226.94,99.8045
ssp370_near,23,229182.14,99.785
ssp370_near,23.5,229138.66,99.7661
ssp370_near,24,229077.76,99.7396
ssp370_near,24.5,229019.67,99.7143
ssp370_near,25,228945.29,99.6819
ssp370_near,25.5,228851.65,99.6411
ssp370_near,26,228755.47,99.5992
ssp370_near,26.5,228659.97,99.5577
ssp370_near,27,228580.8,99.5232
ssp370_near,27.5,228509.25,99.492
ssp370_near,28,228420.33,99.4533
ssp370_near,28.5,228340.22,99.4185
ssp370_near,29,228252.74,99.3804
ssp370_near,29.5,228164.51,99.3419
ssp370_near,30,228053.25,99.2935
ssp370_near,30.4,227958.62,99.2523
ssp370_near,30.5,227931.25,99.2404
ssp370_near,31,227779.82,99.1745
ssp370_near,31.5,227616.89,99.1035
ssp370_near,32,227424.83,99.0199
ssp370_near,32.5,227254.22,98.9456
ssp370_near,33,227060.81,98.8614
ssp370_near,33.5,226863.51,98.7755
ssp370_near,33.7,226785.45,98.7415
ssp370_near,34,226654.87,98.6847
ssp370_near,34.5,226451.74,98.5962
ssp370_near,35,226178.71,98.4773
ssp370_near,35.5,225857.82,98.3376
ssp370_near,36,225445.45,98.1581
ssp370_near,36.5,224996.91,97.9628
ssp370_near,37,224484.13,97.7395
ssp370_near,37.5,223947.69,97.506
ssp370_near,38,223327.55,97.236
ssp370_near,38.5,222697.01,96.9614
ssp370_near,39,222027.23,96.6698
ssp370_near,39.5,221284.25,96.3463
ssp370_near,40,220441.9,95.9796
ssp370_near,40.5,219515.73,95.5763
ssp370_near,40.64,219242.25,95.4572
ssp370_near,41,218562.21,95.1611
ssp370_near,41.5,217682.49,94.7781
ssp370_near,42,216797.63,94.3929
ssp370_near,42.5,215948.82,94.0233
ssp370_near,43,215182.6,93.6897
ssp370_near,43.5,214445.69,93.3688
ssp370_near,44,213681.15,93.0359
ssp370_near,44.2,213359.51,92.8959
ssp370_near,44.5,212910.75,92.7005
ssp370_near,45,212066.96,92.3331
ssp370_near,45.5,211203.05,91.957
ssp370_near,46,210381.5,91.5993
ssp370_near,46.5,209645.21,91.2787
ssp370_near,47,208869.87,90.9411
ssp370_near,47.5,208078.32,90.5965
ssp370_near,48,207254.29,90.2377
ssp370_near,48.5,206574.01,89.9415
ssp370_near,49,205786.44,89.5986
ssp370_near,49.5,205053.38,89.2794
ssp370_near,50,204369.93,88.9819
ssp370_near,50.5,203711.85,88.6954
ssp370_near,50.8,203287.56,88.5106
ssp370_near,51,202990.75,88.3814
ssp370_near,51.5,202270.65,88.0679
ssp370_near,52,201525.46,87.7434
ssp370_near,52.5,200722.65,87.3939
ssp370_near,53,199897.21,87.0345
ssp370_near,53.5,199113.72,86.6933
ssp370_near,54,198318.11,86.3469
ssp370_near,54.44,197594.47,86.0319
ssp370_near,54.5,197477.83,85.9811
ssp370_near,55,196326.33,85.4797
ssp370_near,55.5,195178.53,84.98
ssp370_near,56,193968.71,84.4532
ssp370_near,56.5,192431.14,83.7838
ssp370_near,57,190928.09,83.1294
ssp370_near,57.5,189410.92,82.4688
ssp370_near,58,188046.82,81.8749
ssp370_near,58.5,186736.02,81.3041
ssp370_near,59,185275.69,80.6683
ssp370_near,59.5,183915.07,80.0759
ssp370_near,60,182548.88,79.4811
ssp370_near,60.5,181097.16,78.849
ssp370_near,61,179574.74,78.1861
ssp370_near,61.5,177917.5,77.4646
ssp370_near,62,176030.07,76.6428
ssp370_near,62.5,173959.7,75.7414
ssp370_near,63,171820.03,74.8098
ssp370_near,63.5,169707.38,73.8899
ssp370_near,64,167593.05,72.9694
ssp370_near,64.5,165380.68,72.0061
ssp370_near,65,162972.65,70.9577
ssp370_near,65.5,160410.9,69.8423
ssp370_near,66,157658.28,68.6438
ssp370_near,66.5,154871.91,67.4306
ssp370_near,67,151776.48,66.0829
ssp370_near,67.5,148219.98,64.5344
ssp370_near,68,144095.3,62.7385
ssp370_near,68.5,139959.2,60.9377
ssp370_near,69,136787.19,59.5566
ssp370_near,69.5,133362.68,58.0656
ssp370_near,70,129532.13,56.3978
ssp370_near,70.5,125286.95,54.5495
ssp370_near,71,120676.23,52.542
ssp370_near,71.5,115981.29,50.4978
ssp370_near,72,110420.48,48.0767
ssp370_near,72.5,103830.37,45.2073
ssp370_near,73,96505.45,42.0181
ssp370_near,73.5,88706.34,38.6224
ssp370_near,74,80109.11,34.8792
ssp370_near,74.5,71377.6,31.0775
ssp370_near,75,62191.37,27.0779
ssp126_far,20,229516.41,99.9306
ssp126_far,20.5,229480.83,99.9151
ssp126_far,21,229451.8,99.9024
ssp126_far,21.5,229422.49,99.8897
ssp126_far,22,229398.8,99.8793
ssp126_far,22.5,229369.94,99.8668
ssp126_far,23,229341.95,99.8546
ssp126_far,23.5,229315.5,99.8431
ssp126_far,24,229270.73,99.8236
ssp126_far,24.5,229230.63,99.8061
ssp126_far,25,229181.68,99.7848
ssp126_far,25.5,229134.03,99.7641
ssp126_far,26,229075.67,99.7387
ssp126_far,26.5,228999.28,99.7054
ssp126_far,27,228943.16,99.681
ssp126_far,27.5,228893.56,99.6594
ssp126_far,28,228821.91,99.6282
ssp126_far,28.5,228747.7,99.5959
ssp126_far,29,228673.57,99.5636
ssp126_far,29.5,228591,99.5276
ssp126_far,30,228486.18,99.482
ssp126_far,30.4,228402.17,99.4454
ssp126_far,30.5,228381.91,99.4366
ssp126_far,31,228270.27,99.388
ssp126_far,31.5,228159.01,99.3396
ssp126_far,32,228032.04,99.2843
ssp126_far,32.5,227889.84,99.2224
ssp126_far,33,227758.8,99.1653
ssp126_far,33.5,227609.85,99.1004
ssp126_far,33.7,227551.51,99.0751
ssp126_far,34,227435.79,99.0247
ssp126_far,34.5,227227.95,98.9342
ssp126_far,35,227023.07,98.845
ssp126_far,35.5,226783.97,98.7409
ssp126_far,36,226532.33,98.6313
ssp126_far,36.5,226326.57,98.5417
ssp126_far,37,226073.27,98.4314
ssp126_far,37.5,225826.76,98.3241
ssp126_far,38,225520.48,98.1907
ssp126_far,38.5,225125.39,98.0187
ssp126_far,39,224658.32,97.8154
ssp126_far,39.5,224121.73,97.5817
ssp126_far,40,223544.52,97.3304
ssp126_far,40.5,222866.51,97.0352
ssp126_far,40.64,222671.88,96.9505
ssp126_far,41,222114.22,96.7077
ssp126_far,41.5,221313.66,96.3591
ssp126_far,42,220495.11,96.0027
ssp126_far,42.5,219476.89,95.5594
ssp126_far,43,218425.01,95.1014
ssp126_far,43.5,217425.53,94.6662
ssp126_far,44,216404.19,94.2215
ssp126_far,44.2,216011.19,94.0504
ssp126_far,44.5,215403.5,93.7859
ssp126_far,45,214453.37,93.3722
ssp126_far,45.5,213564.37,92.9851
ssp126_far,46,212651.42,92.5876
ssp126_far,46.5,211731.35,92.187
ssp126_far,47,210655.35,91.7185
ssp126_far,47.5,209911.35,91.3946
ssp126_far,48,209193.94,91.0822
ssp126_far,48.5,208490.51,90.776
ssp126_far,49,207821.96,90.4849
ssp126_far,49.5,207137.98,90.1871
ssp126_far,50,206504.51,89.9113
ssp126_far,50.5,205836.68,89.6205
ssp126_far,50.8,205410.78,89.4351
ssp126_far,51,205075.48,89.2891
ssp126_far,51.5,204287.75,88.9461
ssp126_far,52,203585.89,88.6405
ssp126_far,52.5,202896.27,88.3403
ssp126_far,53,202143.7,88.0126
ssp126_far,53.5,201313.97,87.6513
ssp126_far,54,200537.32,87.3132
ssp126_far,54.44,199895.82,87.0339
ssp126_far,54.5,199808.36,86.9958
ssp126_far,55,199006.97,86.6469
ssp126_far,55.5,197986.76,86.2027
ssp126_far,56,196954.75,85.7533
ssp126_far,56.5,195824.63,85.2613
ssp126_far,57,194581.51,84.72
ssp126_far,57.5,193303.7,84.1637
ssp126_far,58,191960.71,83.579
ssp126_far,58.5,190714.2,83.0362
ssp126_far,59,189380.02,82.4553
ssp126_far,59.5,187805.76,81.7699
ssp126_far,60,186174.81,81.0598
ssp126_far,60.5,184595.39,80.3721
ssp126_far,61,183067.67,79.707
ssp126_far,61.5,181550.1,79.0462
ssp126_far,62,180081.35,78.4067
ssp126_far,62.5,178431.17,77.6882
ssp126_far,63,176693.92,76.9319
ssp126_far,63.5,174306.7,75.8925
ssp126_far,64,171839.82,74.8184
ssp126_far,64.5,169597.94,73.8423
ssp126_far,65,167294.9,72.8396
ssp126_far,65.5,165026.22,71.8518
ssp126_far,66,162377.15,70.6984
ssp126_far,66.5,159177.24,69.3052
ssp126_far,67,156006.08,67.9244
ssp126_far,67.5,152251.58,66.2898
ssp126_far,68,148322.17,64.5789
ssp126_far,68.5,144387.83,62.8659
ssp126_far,69,140356.82,61.1108
ssp126_far,69.5,136549.2,59.453
ssp126_far,70,132097.37,57.5147
ssp126_far,70.5,127127.63,55.3509
ssp126_far,71,121701.88,52.9885
ssp126_far,71.5,115932.04,50.4764
ssp126_far,72,109538.65,47.6927
ssp126_far,72.5,101214.48,44.0684
ssp126_far,73,92029.89,40.0695
ssp126_far,73.5,83221.92,36.2345
ssp126_far,74,73724.13,32.0992
ssp126_far,74.5,64179.21,27.9434
ssp126_far,75,52228.01,22.7399
ssp245_far,20,229112.74,99.7548
ssp245_far,20.5,229036.96,99.7218
ssp245_far,21,228954.12,99.6857
ssp245_far,21.5,228880.18,99.6535
ssp245_far,22,228825.1,99.6296
ssp245_far,22.5,228761.5,99.6019
ssp245_far,23,228700.95,99.5755
ssp245_far,23.5,228612.92,99.5372
ssp245_far,24,228503.97,99.4897
ssp245_far,24.5,228392.9,99.4414
ssp245_far,25,228282.68,99.3934
ssp245_far,25.5,228190.15,99.3531
ssp245_far,26,228089.85,99.3094
ssp245_far,26.5,227987.63,99.2649
ssp245_far,27,227862.3,99.2104
ssp245_far,27.5,227719.79,99.1483
ssp245_far,28,227587.59,99.0908
ssp245_far,28.5,227413.73,99.0151
ssp245_far,29,227231.01,98.9355
ssp245_far,29.5,226998.78,98.8344
ssp245_far,30,226769.05,98.7344
ssp245_far,30.4,226565.3,98.6457
ssp245_far,30.5,226519.39,98.6257
ssp245_far,31,226277.47,98.5203
ssp245_far,31.5,226025.89,98.4108
ssp245_far,32,225730.59,98.2822
ssp245_far,32.5,225383.55,98.1311
ssp245_far,33,224981.37,97.956
ssp245_far,33.5,224456.25,97.7274
ssp245_far,33.7,224212.26,97.6212
ssp245_far,34,223818.7,97.4498
ssp245_far,34.5,223208.29,97.184
ssp245_far,35,222441.93,96.8504
ssp245_far,35.5,221611.28,96.4887
ssp245_far,36,220807.67,96.1388
ssp245_far,36.5,219851.65,95.7226
ssp245_far,37,218800.51,95.2649
ssp245_far,37.5,217760.76,94.8122
ssp245_far,38,216781.65,94.3859
ssp245_far,38.5,215846.7,93.9788
ssp245_far,39,214890.48,93.5625
ssp245_far,39.5,214004.81,93.1769
ssp245_far,40,213028.78,92.7519
ssp245_far,40.5,212175.84,92.3805
ssp245_far,40.64,211924.3,92.271
ssp245_far,41,211106.41,91.9149
ssp245_far,41.5,210245.09,91.5399
ssp245_far,42,209463.74,91.1997
ssp245_far,42.5,208679.15,90.8581
ssp245_far,43,207972.57,90.5505
ssp245_far,43.5,207301.29,90.2582
ssp245_far,44,206668.41,89.9826
ssp245_far,44.2,206427.13,89.8776
ssp245_far,44.5,206090.85,89.7312
ssp245_far,45,205463.62,89.4581
ssp245_far,45.5,204794.26,89.1666
ssp245_far,46,204038.1,88.8374
ssp245_far,46.5,203323.71,88.5264
ssp245_far,47,202639.88,88.2286
ssp245_far,47.5,201836.05,87.8786
ssp245_far,48,201008.32,87.5182
ssp245_far,48.5,200201.09,87.1668
ssp245_far,49,199396.7,86.8166
ssp245_far,49.5,198518.38,86.4341
ssp245_far,50,197452.13,85.9699
ssp245_far,50.5,196224.89,85.4356
ssp245_far,50.8,195527.84,85.1321
ssp245_far,51,195059.8,84.9283
ssp245_far,51.5,193855.85,84.4041
ssp245_far,52,192267.2,83.7124
ssp245_far,52.5,190684.4,83.0233
ssp245_far,53,189199.71,82.3768
ssp245_far,53.5,187811.7,81.7725
ssp245_far,54,186404.87,81.16
ssp245_far,54.44,185186.92,80.6297
ssp245_far,54.5,185021.42,80.5576
ssp245_far,55,183650.31,79.9606
ssp245_far,55.5,182254.66,79.353
ssp245_far,56,180754.31,78.6997
ssp245_far,56.5,179234.53,78.038
ssp245_far,57,177518.07,77.2907
ssp245_far,57.5,175688.01,76.4939
ssp245_far,58,173653.24,75.6079
ssp245_far,58.5,171725.05,74.7684
ssp245_far,59,169794.36,73.9278
ssp245_far,59.5,167892.82,73.0999
ssp245_far,60,165772.86,72.1769
ssp245_far,60.5,163558.1,71.2126
ssp245_far,61,161054.79,70.1226
ssp245_far,61.5,158648.91,69.0751
ssp245_far,62,156120.43,67.9742
ssp245_far,62.5,153570.84,66.8641
ssp245_far,63,150639.26,65.5877
ssp245_far,63.5,147770.36,64.3386
ssp245_far,64,145130.89,63.1894
ssp245_far,64.5,142711.25,62.1359
ssp245_far,65,140450.24,61.1515
ssp245_far,65.5,138057.24,60.1096
ssp245_far,66,135381.93,58.9448
ssp245_far,66.5,132982.2,57.8999
ssp245_far,67,130349.4,56.7536
ssp245_far,67.5,127411.64,55.4745
ssp245_far,68,124294.47,54.1173
ssp245_far,68.5,121190.49,52.7659
ssp245_far,69,117737.44,51.2624
ssp245_far,69.5,113348.04,49.3513
ssp245_far,70,108632.22,47.298
ssp245_far,70.5,103693.76,45.1479
ssp245_far,71,98732.12,42.9876
ssp245_far,71.5,93376.96,40.656
ssp245_far,72,87053.01,37.9025
ssp245_far,72.5,80507.88,35.0528
ssp245_far,73,73815.47,32.139
ssp245_far,73.5,66672.39,29.0289
ssp245_far,74,59910.53,26.0848
ssp245_far,74.5,52386.34,22.8088
ssp245_far,75,43606.47,18.9861
ssp370_far,20,226518.7,98.6254
ssp370_far,20.5,226224.23,98.4972
ssp370_far,21,225893.34,98.3531
ssp370_far,21.5,225499.56,98.1816
ssp370_far,22,225152.47,98.0305
ssp370_far,22.5,224721.95,97.8431
ssp370_far,23,224259.62,97.6418
ssp370_far,23.5,223703.9,97.3998
ssp370_far,24,222951.77,97.0723
ssp370_far,24.5,222216.18,96.7521
ssp370_far,25,221434.7,96.4118
ssp370_far,25.5,220594.62,96.046
ssp370_far,26,219725.39,95.6676
ssp370_far,26.5,218875.31,95.2975
ssp370_far,27,217997.03,94.9151
ssp370_far,27.5,217051.58,94.5034
ssp370_far,28,216268.3,94.1624
ssp370_far,28.5,215495.71,93.826
ssp370_far,29,214750.53,93.5016
ssp370_far,29.5,214029.32,93.1875
ssp370_far,30,213228.92,92.839
ssp370_far,30.4,212537.75,92.5381
ssp370_far,30.5,212326.98,92.4463
ssp370_far,31,211504.75,92.0884
ssp370_far,31.5,210725.26,91.749
ssp370_far,32,210023.95,91.4436
ssp370_far,32.5,209338.58,91.1452
ssp370_far,33,208692.94,90.8641
ssp370_far,33.5,208109.72,90.6102
ssp370_far,33.7,207882.3,90.5112
ssp370_far,34,207522.06,90.3543
ssp370_far,34.5,206942.06,90.1018
ssp370_far,35,206324.5,89.8329
ssp370_far,35.5,205718.12,89.5689
ssp370_far,36,205059.84,89.2823
ssp370_far,36.5,204445.64,89.0148
ssp370_far,37,203878.05,88.7677
ssp370_far,37.5,203232.37,88.4866
ssp370_far,38,202587.5,88.2058
ssp370_far,38.5,201938.33,87.9232
ssp370_far,39,201243.25,87.6205
ssp370_far,39.5,200557.57,87.322
ssp370_far,40,199830.88,87.0056
ssp370_far,40.5,199122.21,86.697
ssp370_far,40.64,198922.92,86.6103
ssp370_far,41,198408.86,86.3864
ssp370_far,41.5,197674.77,86.0668
ssp370_far,42,196858.26,85.7113
ssp370_far,42.5,195946.47,85.3143
ssp370_far,43,195147.9,84.9666
ssp370_far,43.5,194339.38,84.6146
