situation,station_id,lon,lat,obs,pred,resid,d_nn,n_nb,has_twin
ssp126_nearterm,0001,0.712,40.874,66.1,59.2272843947141,-6.87271560528587,6063.85780568474,12,FALSE
ssp126_nearterm,0002A,0.783,40.867,54.24,64.1470557772523,9.9070557772523,6063.85780568474,12,FALSE
ssp126_nearterm,0002I,0.871,40.958,51.86,66.1986070671124,14.3386070671124,10182.8385387554,12,FALSE
ssp126_nearterm,0003E,0.874,41.05,68.76,66.9047532019365,-1.85524679806355,10182.8385387554,12,FALSE
ssp126_nearterm,0008,1.002,41.118,54.69,63.8942197517235,9.20421975172354,4719.05880187817,12,FALSE
ssp126_nearterm,0009,0.976,41.209,74.81,74.4135289545483,-0.39647104545169,1230.50048156013,12,FALSE
ssp126_nearterm,0009X,0.963,41.214,75.09,74.4640748123091,-0.625925187690896,1230.50048156013,12,FALSE
ssp126_nearterm,0013,1.052,41.073,61.39,59.8715393602667,-1.51846063973329,6554.80037571683,12,FALSE
ssp126_nearterm,0015I,1.051,41.139,60.33,60.1652088497694,-0.164791150230606,4719.05880187817,12,FALSE
ssp126_nearterm,0016,1.116,41.149,67.42,52.3808499343137,-15.0391500656863,812.338298829087,12,FALSE
ssp126_nearterm,0016A,1.164,41.145,60.72,59.7444295989823,-0.97557040101772,3942.04221575408,12,FALSE
ssp126_nearterm,0016B,1.109,41.154,51.38,66.6824053083707,15.3024053083707,812.338298829087,12,FALSE
ssp126_nearterm,0017,1.146,41.112,57.88,60.3852718180813,2.5052718180813,3942.04221575408,12,FALSE
ssp126_nearterm,0019,1.04,41.371,77.14,75.6231019602713,-1.5168980397287,3755.50264709467,12,FALSE
ssp126_nearterm,0020O,1.082,41.383,76.01,75.3659628926306,-0.644037107369371,3755.50264709467,12,FALSE
ssp126_nearterm,0022,1.162,41.376,71.36,74.2228583956275,2.86285839562751,6765.0142168112,12,FALSE
ssp126_nearterm,0024,1.282,41.476,76.35,74.9169391267187,-1.43306087328128,4412.06602179767,12,FALSE
ssp126_nearterm,0025,1.247,41.446,75.44,75.0239004713748,-0.416099528625225,4412.06602179767,12,FALSE
ssp126_nearterm,0034C,1.261,41.293,67.41,69.68,2.27000000000001,0,12,TRUE
ssp126_nearterm,0034X,1.261,41.293,69.68,67.41,-2.27000000000001,0,12,TRUE
ssp126_nearterm,0037I,1.163,41.264,67.14,66.5011600764243,-0.638839923575702,8814.155260946,12,FALSE
ssp126_nearterm,0042A,1.244,41.119,57.09,60.0098782271057,2.91987822710568,252.81948559463,12,FALSE
ssp126_nearterm,0042C,1.241,41.12,61.5,57.5785522637311,-3.9214477362689,276.900851096392,12,FALSE
ssp126_nearterm,0042X,1.247,41.119,59.02,57.9654955519064,-1.05450444809363,252.81948559463,12,FALSE
ssp126_nearterm,0042Y,1.249,41.124,58.09,59.0112591154679,0.921259115467848,577.030337891582,12,FALSE
ssp126_nearterm,0044E,1.383,41.532,76.79,75.0563487665489,-1.73365123345108,6805.85842586137,12,FALSE
ssp126_nearterm,0055D,1.526,41.177,60.83,65.6026084133826,4.77260841338259,5616.86913667941,12,FALSE
ssp126_nearterm,0056B,1.539,41.227,63.61,67.7279591756225,4.11795917562252,84.132102877642,12,FALSE
ssp126_nearterm,0057,1.538,41.227,67.73,63.610960855459,-4.11903914454103,84.132102877642,12,FALSE
ssp126_nearterm,0059,1.633,41.194,62.76,66.343101469668,3.58310146966797,1529.8206789083,12,FALSE
ssp126_nearterm,0061X,1.519,41.417,78.96,71.7228645916275,-7.23713540837255,16330.6522444872,12,FALSE
ssp126_nearterm,0066,1.697,41.344,69.73,68.9692758695827,-0.760724130417344,2275.79165909297,12,FALSE
ssp126_nearterm,0066C,1.677,41.33,69.49,68.91,-0.579999999999998,0,12,TRUE
ssp126_nearterm,0066X,1.677,41.33,68.91,69.49,0.579999999999998,0,12,TRUE
ssp126_nearterm,0069,1.652,41.256,68.15,68.4742300528138,0.324230052813746,1687.9509933574,12,FALSE
ssp126_nearterm,0069B,1.635,41.264,71.16,66.98159161842,-4.17840838157997,1687.9509933574,12,FALSE
ssp126_nearterm,0070B,1.65,41.199,67.58,62.6179096202061,-4.96209037979391,1529.8206789083,12,FALSE
ssp126_nearterm,0070D,1.657,41.221,59.76,66.5630794620811,6.80307946208108,2500.3115446842,12,FALSE
ssp126_nearterm,0071F,1.735,41.232,64.3,63.5376043709837,-0.762395629016311,6664.35669128494,12,FALSE
ssp126_nearterm,0072,1.932,41.332,75.21,74.0747834494958,-1.13521655050421,1259.87800796546,12,FALSE
ssp126_nearterm,0072A,1.918,41.336,76,73.6647801810397,-2.33521981896034,1259.87800796546,12,FALSE
ssp126_nearterm,0072E,1.844,41.351,69.79,70.7910848244334,1.00108482443342,6445.64016745328,12,FALSE
ssp126_nearterm,0073U,1.826,41.235,48.08,63.2978582821203,15.2178582821202,2472.4645050872,12,FALSE
ssp126_nearterm,0073X,1.853,41.244,61.42,53.1579937939393,-8.26200620606069,2472.4645050872,12,FALSE
ssp126_nearterm,0073Z,1.999,41.307,50.96,65.4645093140351,14.5045093140351,4417.48197848876,12,FALSE
ssp126_nearterm,0076,2.07,41.293,58.96,59.2993372283488,0.339337228348811,4207.94256826213,12,FALSE
ssp126_nearterm,0076E,2.072,41.331,63.88,58.3508329429104,-5.52916705708958,3265.40070176382,12,FALSE
ssp126_nearterm,0085A,1.857,42.172,78.73,75.8284733689886,-2.90152663101142,7865.43468047916,12,FALSE
ssp126_nearterm,0092C,1.855,42.101,77.59,78.6485708985191,1.05857089851907,248.849294687179,12,FALSE
ssp126_nearterm,0092X,1.858,42.101,78.66,77.5824791335237,-1.07752086647631,248.849294687179,12,FALSE
ssp126_nearterm,0095,1.896,42.031,73.89,76.8338325520048,2.94383255200478,4970.22167968493,12,FALSE
ssp126_nearterm,0097,1.841,42.013,76.42,75.7958908535888,-0.624109146411229,4970.22167968493,12,FALSE
ssp126_nearterm,0099,2.046,42.135,74.19,75.3454554047048,1.15545540470481,13287.3578888625,12,FALSE
ssp126_nearterm,0106X,1.873,41.866,74.5,74.9625833396906,0.462583339690553,5819.94258367666,12,FALSE
ssp126_nearterm,0110,1.894,41.816,74.87,73.7047548780774,-1.16524512192257,2104.04099528838,12,FALSE
ssp126_nearterm,0111,1.894,41.797,73.21,74.8939236659228,1.68392366592281,2104.04099528838,12,FALSE
ssp126_nearterm,0114,2.027,42.007,75.03,76.76,1.73,0,12,TRUE
ssp126_nearterm,0114G,2.111,41.868,76.91,73.4019168131436,-3.5080831868564,6224.85428260118,12,FALSE
ssp126_nearterm,0114X,2.027,42.007,76.76,75.03,-1.73,0,12,TRUE
ssp126_nearterm,0119A,2.126,41.751,78.75,75.1656535875939,-3.58434641240612,7354.36515970237,12,FALSE
ssp126_nearterm,0120,2.095,41.813,77.4,79.32,1.91999999999999,0,12,TRUE
ssp126_nearterm,0120X,2.095,41.813,79.32,77.4,-1.91999999999999,0,12,TRUE
ssp126_nearterm,0127O,1.565,42.168,59.4,74.954308904027,15.554308904027,6874.15773727967,12,FALSE
ssp126_nearterm,0131U,1.513,41.989,76.89,73.8963464868254,-2.99365351317461,12991.9354224076,12,FALSE
ssp126_nearterm,0134E,1.602,42.086,77.28,71.640680481373,-5.63931951862702,9610.77088069232,12,FALSE
ssp126_nearterm,0142,1.784,41.949,77.95,75.7446939642021,-2.20530603579789,8495.22154319564,12,FALSE
ssp126_nearterm,0149,1.837,41.731,75.26,74.4171998391454,-0.84280016085458,798.27293118003,12,FALSE
ssp126_nearterm,0149A,1.829,41.727,74.83,74.5486526953957,-0.281347304604324,798.27293118003,12,FALSE
ssp126_nearterm,0149C,1.814,41.724,73.96,74.6366045370957,0.676604537095656,1292.67785336951,12,FALSE
ssp126_nearterm,0149D,1.84,41.72,73.71,74.26,0.550000000000011,0,12,TRUE
ssp126_nearterm,0149X,1.84,41.72,74.26,73.71,-0.550000000000011,0,12,TRUE
ssp126_nearterm,0153,1.784,41.7,74.49,74.4808794693058,-0.0091205306942328,3637.01944789147,12,FALSE
ssp126_nearterm,0158O,1.839,41.594,78.52,79.4,0.88000000000001,0,12,TRUE
ssp126_nearterm,0158X,1.839,41.594,79.4,78.52,-0.88000000000001,0,12,TRUE
ssp126_nearterm,0160E,1.897,41.551,70.56,72.9196383541649,2.3596383541649,2469.73291798159,12,FALSE
ssp126_nearterm,0163A,1.872,41.539,72.37,71.8505240917788,-0.51947590822121,2469.73291798159,12,FALSE
ssp126_nearterm,0164,1.931,41.48,68.45,71.7449747931344,3.29497479313439,6648.62136555299,12,FALSE
ssp126_nearterm,0166,1.516,41.732,73.73,74.7520962645032,1.02209626450319,10086.9600213683,12,FALSE
ssp126_nearterm,0166I,1.432,41.666,76.05,74.4029471825564,-1.64705281744358,10086.9600213683,12,FALSE
ssp126_nearterm,0171C,1.618,41.579,73.63,73.82,0.189999999999998,0,12,TRUE
ssp126_nearterm,0171X,1.618,41.579,73.82,73.63,-0.189999999999998,0,12,TRUE
ssp126_nearterm,0173,1.596,41.553,77.1,73.8918300407602,-3.20816995923981,3404.04675651393,12,FALSE
ssp126_nearterm,0178A,1.749,41.516,71.93,73.1151960544875,1.18519605448745,7113.07820439183,12,FALSE
ssp126_nearterm,0178Q,1.765,41.453,69.92,71.3314565712552,1.41145657125523,3228.03976792575,12,FALSE
ssp126_nearterm,0181,1.794,41.434,70.88,70.9969033000107,0.116903300010748,3228.03976792575,12,FALSE
ssp126_nearterm,0185,1.866,41.432,72.17,73.6996234503823,1.52962345038232,3109.19684418124,12,FALSE
ssp126_nearterm,0189A,2.019,41.57,71.86,71.5917961071449,-0.268203892855098,982.520894435466,12,FALSE
ssp126_nearterm,0189C,2.024,41.562,71.78,71.5886964592591,-0.191303540740876,982.520894435466,12,FALSE
ssp126_nearterm,0189E,2.037,41.532,65.9,71.9932943131348,6.09329431313476,2536.82104122501,12,FALSE
ssp126_nearterm,0194D,1.885,41.408,76.7,71.2087275287287,-5.49127247127127,3109.19684418124,12,FALSE
ssp126_nearterm,0198,2.034,41.337,63.11,60.3201336111806,-2.78986638881943,3265.40070176382,12,FALSE
ssp126_nearterm,0200D,2.142,41.408,65.25,59.3766798864689,-5.87332011353114,1698.49907448951,12,FALSE
ssp126_nearterm,0200E,2.124,41.418,69.51,60.0590717804161,-9.45092821958387,1879.30367753082,12,FALSE
ssp126_nearterm,0200I,2.163,41.382,37.2,56.3269165602681,19.1269165602681,1209.99937073419,12,FALSE
ssp126_nearterm,0200N,2.149,41.367,71.69,55.5415007191917,-16.1484992808083,762.763393944921,12,FALSE
ssp126_nearterm,0200P,2.159,41.429,64.51,59.8317544808788,-4.67824551912124,2717.50570107783,12,FALSE
ssp126_nearterm,0200R,2.133,41.384,46.07,57.395009802247,11.325009802247,1260.45183334109,12,FALSE
ssp126_nearterm,0201B,2.175,41.374,57.04,47.2946324095367,-9.74536759046335,139.442655453732,12,FALSE
ssp126_nearterm,0201C,2.129,41.373,54.84,54.903671516829,0.0636715168289825,1260.45183334109,12,FALSE
ssp126_nearterm,0201D,2.2,41.391,53.26,54.6025052807041,1.34250528070405,2799.60748134667,12,FALSE
ssp126_nearterm,0201F,2.156,41.397,60.99,54.5324930515706,-6.45750694842938,1698.49907448951,12,FALSE
ssp126_nearterm,0201H,2.158,41.368,59.16,60.6723055811605,1.51230558116048,762.763393944921,12,FALSE
ssp126_nearterm,0201X,2.174,41.375,47.13,56.8539075397968,9.72390753979681,139.442655453732,12,FALSE
ssp126_nearterm,0203,2.257,41.854,73.77,74.919913431707,1.14991343170699,2610.86179085095,12,FALSE
ssp126_nearterm,0206I,2.26,41.697,72.69,71.577350869033,-1.11264913096704,10375.4855873212,12,FALSE
ssp126_nearterm,0208,2.298,41.608,68.16,66.8732716362357,-1.28672836376428,6091.70013939435,12,FALSE
ssp126_nearterm,0211,2.397,41.642,72.81,68.3762073630949,-4.43379263690507,3076.72747499758,12,FALSE
ssp126_nearterm,0213,2.361,41.636,67.35,70.8465675401238,3.49656754012376,3076.72747499758,12,FALSE
ssp126_nearterm,0218D,2.223,41.561,71.75,64.3859981016302,-7.36400189836984,7397.19880791501,12,FALSE
ssp126_nearterm,0222,2.168,41.613,69.53,71.88,2.34999999999999,0,12,TRUE
ssp126_nearterm,0222X,2.168,41.613,71.88,69.53,-2.34999999999999,0,12,TRUE
ssp126_nearterm,0228I,2.087,41.619,73.27,71.2138922423843,-2.05610775761566,6810.37695464767,12,FALSE
ssp126_nearterm,0229E,2.052,41.552,73.3,69.6473080134787,-3.65269198652128,2536.82104122501,12,FALSE
ssp126_nearterm,0229I,2.103,41.524,69.4,70.2445403922269,0.844540392226932,5295.91660816769,12,FALSE
ssp126_nearterm,0229U,2.126,41.474,69.76,63.6197986088376,-6.14020139116244,5717.01028664593,12,FALSE
ssp126_nearterm,0230,2.008,41.466,70.09,69.8250107235731,-0.264989276426917,6648.62136555299,12,FALSE
ssp126_nearterm,0234I,2.236,41.427,58.4,56.0410256518779,-2.35897434812215,2361.26402818904,12,FALSE
ssp126_nearterm,0236A,2.244,41.461,55.57,56.8313657613163,1.26136576131627,1110.76163391021,12,FALSE
ssp126_nearterm,0237,2.245,41.451,57.4,55.6679194576174,-1.7320805423826,451.280432263267,12,FALSE
ssp126_nearterm,0237B,2.246,41.447,55.64,57.2293155445224,1.58931554452241,451.280432263267,12,FALSE
ssp126_nearterm,0241,2.324,41.48,38.02,58.5467697505628,20.5267697505628,944.827960166064,12,FALSE
ssp126_nearterm,0241G,2.314,41.476,56.58,44.8992779154624,-11.6807220845376,944.827960166064,12,FALSE
ssp126_nearterm,0242A,2.316,41.493,64.15,48.6927381796039,-15.4572618203961,1592.15652085659,12,FALSE
ssp126_nearterm,0244E,2.367,41.524,69.5,55.7279798726333,-13.7720201273667,2127.27769870466,12,FALSE
ssp126_nearterm,0244X,2.363,41.505,53.71,62.4454967971522,8.73549679715217,2127.27769870466,12,FALSE
ssp126_nearterm,0249A,2.434,41.536,58.51,63.323872931639,4.81387293163895,2329.4804248524,12,FALSE
ssp126_nearterm,0249D,2.436,41.557,63.91,62.0290916521456,-1.88090834785442,2329.4804248524,12,FALSE
ssp126_nearterm,0249U,2.477,41.574,65.52,64.5219628132937,-0.998037186706298,3901.11737854577,12,FALSE
ssp126_nearterm,0251B,2.528,41.63,74.01,67.1728324143792,-6.8371675856208,3843.86843264002,12,FALSE
ssp126_nearterm,0252A,2.558,41.578,65.9,62.4282111820849,-3.47178881791508,1150.03683943647,12,FALSE
ssp126_nearterm,0252D,2.54,41.588,62.32,62.6576006727724,0.337600672772382,749.951178043889,12,FALSE
ssp126_nearterm,0252E,2.546,41.583,61.61,63.6513163765526,2.04131637655262,749.951178043889,12,FALSE
