situation,n_stations,mae_CP,rmse_CP,bias_CP,p90_abs_CP,r,pct_of_gap,n_no_neigh,n_twin,rmse_all_CP
observaciones_obsref,2769,3.05898792811769,4.8706867196048,-0.0240055096101482,6.90465580039514,0.864006142053296,35.2948313014841,3,272,4.70935486284369
observaciones_present,2769,3.07991996246622,4.87701908515932,-0.0249350249843989,6.96714852402813,0.867779025462305,35.3407180084009,3,272,4.71673219517897
historical_ref,3151,3.43029299394631,5.48271612938429,-0.0424958916084923,8.25809592517938,0.857755570604404,39.7298270245239,3,306,5.32535229904717
presente_present,3151,3.45941629453308,5.49602314255714,-0.064324387359361,8.25972880686945,0.867582724075954,39.8262546562111,3,306,5.34153686471272
presente_current,3151,3.48323373684113,5.51595340690636,-0.0665557685715976,8.32070161082486,0.8723650298215,39.9706768616403,3,306,5.36045313212986
ssp126_nearterm,3151,3.5615133804122,5.57169663383739,-0.0941588755219766,8.55540607584702,0.88565279002188,40.3746132886768,3,306,5.40578194747568
ssp126_far,3151,3.63248398435791,5.59334001234488,-0.12133805087905,8.71421527228218,0.909904053494888,40.5314493648179,3,306,5.43223605141246
ssp245_nearterm,3151,3.59406597916716,5.61548637737209,-0.104477705481234,8.50641009884117,0.890821467489931,40.6919302708122,3,306,5.45357102208325
ssp370_nearterm,3151,3.55403667504243,5.63161953174867,-0.0916622418730761,8.60353816136082,0.877609906997924,40.8088371865846,3,306,5.47782396853048
ssp245_near,3151,3.74658560909328,5.78845312881075,-0.136208401931597,8.88790360998537,0.904170428975704,41.9453125276141,3,306,5.62207177680304
ssp126_near,3151,3.75799364065771,5.79184973432954,-0.125127158443039,9.07097861096113,0.90154576547662,41.9699256110836,3,306,5.6286656146173
ssp370_near,3151,3.85886908321542,5.90529625875454,-0.162864089020064,9.14845969010052,0.909276085444225,42.7920018750329,3,306,5.73670962499431
ssp245_far,3151,3.96559302313564,5.95715660473281,-0.149214827806877,9.25827776219871,0.922018585937004,43.1678014835711,3,306,5.77830182973392
ssp370_far,3151,4.39312342611633,6.44477821572698,-0.211711533718102,10.2777144624127,0.93305856862841,46.7012914183114,3,306,6.24076321686027
