metric,value,scenario
rank_worst_model,UKESM1-0-LL,ssp370
rank_best_model,IITM-ESM,ssp370
rank_worst_swc,41.0699,ssp370
rank_best_swc,62.33,ssp370
rank_best_margin_CP,1.4627,ssp370
rank_spread_far_CP,21.2601,ssp370
rank_spread_base_CP,2.8691,ssp370
rank_station_range_base_CP,4.38,ssp370
rank_delta_worst_CP,-26.2475,ssp370
rank_delta_best_CP,-6.8013,ssp370
rank_n_below_bulida,2,ssp370
rank_n_stations,3460,ssp370
rank_n_models,11,ssp370
rank_order_swaps_mean_vs_median,5,ssp370
rank_cultivar_gap_CP,13.8,ssp370
rank_short_window_models,IITM-ESM,ssp370
rank_short_window_seasons,28,ssp370
rank_modal_seasons,30,ssp370
