rank_by_mean,rank_by_median,model,base_swc_CP,far_swc_CP,delta_CP,base_median_CP,far_median_CP,far_n_seasons,n_stations,scenario
1,1,UKESM1-0-LL,67.317338150289,41.0698699421966,-26.2474682080924,71.385,42.97,30,3460,ssp370
2,2,ACCESS-CM2,68.0638526011561,45.990323699422,-22.0735289017341,72.56,50.33,30,3460,ssp370
3,3,EC-Earth3-Veg,70.1864479768786,51.5161242774567,-18.6703236994219,74.43,58.085,30,3460,ssp370
4,4,CMCC-CM2-SR5,69.6852196531793,53.7304132947977,-15.9548063583816,73.805,59.005,30,3460,ssp370
5,7,KACE-1-0-G,69.1974132947976,56.2523757225436,-12.9450375722541,72.99,63.055,30,3460,ssp370
6,5,CNRM-ESM2-1,67.7973381502891,57.059112716763,-10.7382254335261,72.39,62.73,30,3460,ssp370
7,6,MRI-ESM2-0,68.2501560693643,58.1585028901733,-10.091653179191,72.665,62.805,30,3460,ssp370
8,8,NorESM2-MM,69.4567485549134,59.5801531791909,-9.87659537572245,73.915,65.555,30,3460,ssp370
9,10,MIROC6,69.3149537572255,60.8166734104046,-8.49828034682085,73.57,66.975,30,3460,ssp370
10,9,MPI-ESM1-2-HR,69.1388294797687,60.8673554913295,-8.27147398843918,72.735,65.735,30,3460,ssp370
11,11,IITM-ESM,69.1313381502889,62.3300057803466,-6.80133236994233,73.18,67.425,28,3460,ssp370
