block,metric,value
baseline,first_year,1976
baseline,last_year,2020
baseline,n_seasons,45
baseline,mean_CP,73.9899
baseline,sd_CP,1.8758
recent,first_year,2021
recent,last_year,2025
recent,n_seasons,5
recent,mean_CP,70.3364
recent,anomaly_CP,-3.6535
recent,anomaly_sd,-1.9477
ranking,n_recent_in_10_mildest,4
ranking,p_exchangeable,0.0041
ranking,mildest_winter,2024
blocks,block_length,5
blocks,n_baseline_blocks,41
blocks,n_as_mild,0
blocks,mildest_baseline_block_CP,72.7313
structure,acf_lag1,-0.0748
structure,acf_lag2,-0.1258
structure,acf_lag3,-0.0316
representativeness,n_stations_used,665
representativeness,n_stations_archive,3044
representativeness,r_annual_series,0.9805
representativeness,offset_CP,-0.6994
trend,1976-2020,-0.0026
trend,1995-2020,-0.0245
trend,1976-2025,-0.042
trend_p,1976-2020,0.9038
trend_p,1995-2020,0.6336
trend_p,1976-2025,0.0466
