block,metric,value
pooled_seasons,n_seasons,8979
pooled_seasons,n_stations,666
pooled_seasons,bias_mean,0.651
pooled_seasons,bias_median,0
pooled_seasons,bias_sd,4.809
pooled_seasons,mae,1.347
pooled_seasons,r_pooled,0.9057
pooled_seasons,pct_abs_gt5,4.92
per_station,n_stations,619
per_station,bias_median,0.2082
per_station,mae_median,0.8618
per_station,r_median,0.9316
per_station,pct_bias_gt5,2.4233
per_station,max_mae_threshold,3
per_station,n_flagged_mae,73
per_station,bias_median_after_flagging,0.1224
per_station,mae_median_after_flagging,0.7144
swc_common_seasons,n_stations,196
swc_common_seasons,swc_arch_median,73.3125
swc_common_seasons,swc_api_median,72.9455
swc_common_seasons,bias_mean,0.1303
swc_common_seasons,bias_median,0.0065
swc_common_seasons,r_spatial,0.9865
swc_common_seasons,pct_bias_gt5,3.5714
