situation,both_ref,both_sweep,only_ref,only_sweep,d_both,d_only
observaciones_present,227287.22,227287.22,2215.95,2215.95,0,0
presente_present,224897.11,224897.11,4330.92,4330.93,0,0.01
presente_current,224315.39,224315.39,4841.94,4841.94,0,0
observaciones_obsref,227654.21,227654.21,1876.66,1876.66,0,0
historical_ref,225935.26,225935.26,3413.62,3413.62,0,0
pooled_nearterm,221381.61,221381.61,7492.54,7492.54,0,0
ssp126_near,212423.07,212423.07,15305.67,15305.67,0,0
ssp245_near,210516.22,210516.22,17153.75,17153.75,0,0
ssp370_near,208078.32,208078.32,18707.13,18707.13,0,0
ssp126_far,209911.35,209911.35,17640.16,17640.16,0,0
ssp245_far,201836.05,201836.05,22376.2,22376.21,0,0.01
ssp370_far,184572.75,184572.75,23309.55,23309.55,0,0
