situation,km2_both,km2_only,km2_none
presente_present,224897.113389144,4330.92455582905,447.863679215469
ssp126_nearterm,220960.380184485,7922.1557432851,793.365696419153
ssp126_near,212423.071652902,15305.6672551002,1947.16271618642
ssp126_far,209911.350791405,17640.1641920367,2124.38664074674
ssp245_nearterm,219054.482908701,9729.1299355578,892.288779929876
ssp245_near,210516.218158521,17153.7517997985,2005.93166586984
ssp245_far,201836.052760496,22376.2037163729,5463.64514732014
ssp370_nearterm,223167.873409327,5795.07746991829,712.950744943237
ssp370_near,208078.319713336,18707.1261245989,2890.45578625426
ssp370_far,184572.753147354,23309.5467376986,21793.6017391361
