stations,n,lon,lat,swc_min,swc_max,spread,todos_obs,spread_obs
6268O 6268Y,2,-3.529,36.724,13.11,41.23,28.12,FALSE,
5702B 5702X,2,-5.741,37.566,42.22,50.58,8.36,TRUE,10
7007B 7007X,2,-1.234,37.576,39.12,47.22,8.1,TRUE,8.72
4436C 4436X,2,-6.403,38.678,64.12,71.35,7.22999999999999,FALSE,
6084B 6084X,2,-4.618,36.539,21.09,27.66,6.57,TRUE,11.04
5427 5427X,2,-4.354,37.556,66.46,72.85,6.39,TRUE,7.24000000000001
4554E 4554X,2,-7.084,37.218,52.45,58.74,6.29,TRUE,3.9
B780 B780X,2,3.1,39.909,48.53,54.81,6.28,TRUE,10.88
1210 1210X,2,-5.849,43.656,64,70.22,6.22,TRUE,5.12000000000001
8050E 8050X,2,0.168,38.784,52.05,58.02,5.97000000000001,FALSE,
8270U 8270X,2,-0.79,39.134,58.88,64.79,5.91,TRUE,5.25
2150I 2150X,2,-3.47,41.209,47.72,53.16,5.44,FALSE,
7026U 7026X,2,-0.968,37.739,47.95,53.27,5.32,FALSE,
0281A 0281Y,2,2.805,41.677,56.36,61.57,5.21,TRUE,1.40000000000001
8446G 8446Y,2,-0.259,39.701,49.78,54.17,4.39,TRUE,2.04
5998A 5998X,2,-5.112,37.243,49.86,54.13,4.27,TRUE,4.37
1279C 1279X,2,-6.231,43.425,70.63,74.71,4.08,TRUE,3.05
6172O 6172X,2,-4.42,36.717,20.6,24.62,4.02,TRUE,6.05
5983U 5983X,2,-5.92,36.406,43.34,47.33,3.99,TRUE,0.669999999999995
0385J 0385X,2,3.201,42.054,66.7,70.65,3.95,TRUE,3.14999999999999
8072 8072Y,2,-0.305,39.017,62.46,66.39,3.93,TRUE,4.34
8283 8283X,2,-0.608,38.829,58.77,62.64,3.87,TRUE,0.039999999999992
9961 9961X,2,0.735,41.249,71.15,75.01,3.86,FALSE,
3575 3575X,2,-7.138,39.362,75.15,78.63,3.47999999999999,FALSE,
5641U 5641X,2,-5.085,37.516,58.38,61.67,3.29,TRUE,4.64
7247E 7247X,2,-1.038,38.4,70.07,73.17,3.10000000000001,TRUE,3.38
6088A 6088X,2,-4.515,36.621,29.18,32.21,3.03,TRUE,3.54
9245E 9245X,2,-1.366,42.521,77.02,79.93,2.91000000000001,FALSE,
6127A 6127X,2,-4.697,36.855,43.35,46.19,2.84,TRUE,2.53
B013 B013X,2,2.886,39.823,73.7,76.26,2.56,TRUE,1.02000000000001
1363 1363X,2,-7.861,43.446,78.37,80.91,2.53999999999999,TRUE,2.31999999999999
8503G 8503Y,2,0.184,40.211,55.46,57.94,2.48,TRUE,1.01
1210I 1210Y,2,-5.916,43.549,64.52,66.94,2.42,TRUE,2.68000000000001
1199B 1199X,2,-5.397,43.378,75.46,77.84,2.38000000000001,TRUE,0.530000000000001
5624I 5624X,2,-4.686,37.482,63.52,65.84,2.32,TRUE,0.420000000000002
0034C 0034X,2,1.261,41.293,69.48,71.73,2.25,TRUE,1.81
5038X 5038Y,2,-3.004,37.916,69.61,71.84,2.23,TRUE,1.57000000000001
9501F 9501X,2,-0.886,41.443,74.44,76.63,2.19,TRUE,2.04000000000001
3245 3245Y,2,-3.506,39.696,74.82,77,2.18000000000001,TRUE,1.59999999999999
B526 B526X,2,3.351,39.689,59.5,61.66,2.16,TRUE,1.54
B605 B605X,2,3.105,39.797,57.93,60.06,2.13,TRUE,1.6
1249I 1249X,2,-5.874,43.353,74.01,76.11,2.09999999999999,TRUE,1.86
0370A 0370X,2,2.808,41.971,68.47,70.55,2.08,TRUE,2.55
3044 3044X,2,-2.15,40.53,72.63,74.71,2.08,TRUE,1.24
6375A 6375X,2,-4.742,37.133,70.58,72.66,2.08,FALSE,
3298B 3298X,2,-4.351,39.547,76.9,78.96,2.05999999999999,TRUE,0.689999999999998
5060 5060X,2,-2.228,37.861,75.49,77.45,1.96000000000001,TRUE,1.78
9354E 9354X,2,-1.895,41.293,75.28,77.2,1.92,TRUE,0.620000000000005
8520B 8520X,2,0.165,40.694,67.83,69.72,1.89,TRUE,0.930000000000007
5941D 5941X,2,-5.512,36.729,57.72,59.6,1.88,TRUE,2.39
8059E 8059X,2,-0.46,38.721,62.35,64.18,1.83000000000001,TRUE,3.09999999999999
8337 8337X,2,-0.62,39.389,60.59,62.28,1.69,TRUE,3.43
9491 9491X,2,-0.586,42.029,76.65,78.32,1.66999999999999,TRUE,0.159999999999997
