season_end_year,n_stations,mean_CP,mean_CP_uncorrected,source,rank_mild
1976,665,75.196,75.196,archive,41
1977,665,77.758,77.758,archive,50
1978,665,72.355,72.355,archive,12
1979,665,73.289,73.289,archive,19
1980,665,74.233,74.233,archive,30
1981,665,74.823,74.823,archive,38
1982,665,70.952,70.952,archive,8
1983,665,73.784,73.784,archive,23
1984,665,72.465,72.465,archive,13
1985,665,73.334,73.334,archive,20
1986,665,73.122,73.122,archive,17
1987,665,74.548,74.548,archive,32
1988,665,74.562,74.562,archive,33
1989,665,72.287,72.287,archive,11
1990,665,70.201,70.201,archive,5
1991,665,75.437,75.437,archive,42
1992,665,75.652,75.652,archive,43
1993,665,74.697,74.697,archive,36
1994,665,76.794,76.794,archive,47
1995,665,70.879,70.879,archive,7
1996,665,72.573,72.573,archive,14
1997,665,74.137,74.137,archive,28
1998,665,74.641,74.641,archive,35
1999,665,73.725,73.725,archive,22
2000,665,73.878,73.878,archive,25
2001,665,77.445,77.445,archive,48
2002,665,74.791,74.791,archive,37
2003,665,74.536,74.536,archive,31
2004,665,75.195,75.195,archive,40
2005,665,75.679,75.679,archive,44
2006,665,76.381,76.381,archive,46
2007,665,71.464,71.464,archive,10
2008,665,74.192,74.192,archive,29
2009,665,77.715,77.715,archive,49
2010,665,71.284,71.284,archive,9
2011,665,74.026,74.026,archive,27
2012,665,72.792,72.792,archive,16
2013,665,75.88,75.88,archive,45
2014,665,74.632,74.632,archive,34
2015,665,73.876,73.876,archive,24
2016,665,69.525,69.525,archive,3
2017,665,74.921,74.921,archive,39
2018,665,73.26,73.26,archive,18
2019,665,74.004,74.004,archive,26
2020,665,72.625,72.625,archive,15
2021,629,70.36,70.418,api,6
2022,643,73.621,73.794,api,21
2023,641,69.427,69.535,api,2
2024,640,68.641,68.735,api,1
2025,633,69.633,69.711,api,4
