station_id,lon,lat,n_past,n_recent,n_all,swc_1995_2020,swc_1995_2025,d_swc,mean_past,mean_recent,d_mean,mae
0009X,0.963,41.214,26,5,31,76.715,76.27,-0.445,80.805,75.524,-5.281,0.67
0016A,1.164,41.145,26,5,31,64.67,65.76,1.09,71.013,68.734,-2.279,1.875
0034X,1.261,41.293,26,5,31,73.58,72.73,-0.85,77.502,73.994,-3.508,0.307
0042Y,1.249,41.124,26,5,31,61.595,59.39,-2.205,69.055,60.956,-8.099,0.418
0061X,1.519,41.417,26,5,31,78.715,77.68,-1.035,81.051,79.834,-1.217,1.199
0066X,1.677,41.33,26,5,31,70.6,68.87,-1.73,75.769,71.246,-4.523,0.438
0073X,1.853,41.244,26,5,31,66.63,65.03,-1.6,73.511,67.658,-5.853,1.678
0076,2.07,41.293,26,5,31,64.265,65.21,0.945,71.763,67.332,-4.431,2.199
0092X,1.858,42.101,26,5,31,76.75,76.82,0.07,79.833,79.928,0.095,0.119
0106X,1.873,41.866,26,5,31,73.565,72.88,-0.685,76.483,75.064,-1.419,0.164
0114X,2.027,42.007,26,5,31,75.29,75.25,-0.04,78.093,77.664,-0.429,1.771
0120X,2.095,41.813,26,5,31,78.15,77.92,-0.23,80.968,80.044,-0.924,0.096
0149D,1.84,41.72,26,3,29,74.575,73.872,-0.703,77.943,74.133,-3.81,0.653
0149X,1.84,41.72,26,5,31,74.985,73.97,-1.015,78.062,75.26,-2.802,0.237
0158O,1.839,41.594,26,5,31,80.195,79.23,-0.965,82.718,82.008,-0.71,0.419
0158X,1.839,41.594,26,5,31,79.325,78.78,-0.545,82.907,81.648,-1.259,0.011
0171X,1.618,41.579,26,4,30,75.065,73.308,-1.757,79.375,73.825,-5.55,0.152
0194D,1.885,41.408,26,4,30,78.08,77.384,-0.696,81.71,79.31,-2.4,0.302
0200E,2.124,41.418,26,5,31,72.18,69.18,-3,79.084,68.822,-10.262,0.496
0201D,2.2,41.391,26,4,30,57.67,57.178,-0.492,67.735,63.065,-4.67,1.948
