scenario,window,periodo,model,n_stations,n_seasons
historical,ref,1985-2014,ACCESS-CM2,3460,30
historical,ref,1985-2014,CMCC-CM2-SR5,3460,30
historical,ref,1985-2014,CNRM-ESM2-1,3460,30
historical,ref,1985-2014,EC-Earth3-Veg,3460,30
historical,ref,1985-2014,IITM-ESM,3460,30
historical,ref,1985-2014,KACE-1-0-G,3460,30
historical,ref,1985-2014,MIROC6,3460,30
historical,ref,1985-2014,MPI-ESM1-2-HR,3460,30
historical,ref,1985-2014,MRI-ESM2-0,3460,30
historical,ref,1985-2014,NorESM2-MM,3460,30
historical,ref,1985-2014,UKESM1-0-LL,3460,30
presente,current,1995-2025,ACCESS-CM2,3460,31
presente,current,1995-2025,CMCC-CM2-SR5,3460,31
presente,current,1995-2025,CNRM-ESM2-1,3460,31
presente,current,1995-2025,EC-Earth3-Veg,3460,31
presente,current,1995-2025,IITM-ESM,3460,31
presente,current,1995-2025,KACE-1-0-G,3460,31
presente,current,1995-2025,MIROC6,3460,31
presente,current,1995-2025,MPI-ESM1-2-HR,3460,31
presente,current,1995-2025,MRI-ESM2-0,3460,31
presente,current,1995-2025,NorESM2-MM,3460,31
presente,current,1995-2025,UKESM1-0-LL,3460,31
presente,present,1995-2020,ACCESS-CM2,3460,26
presente,present,1995-2020,CMCC-CM2-SR5,3460,26
presente,present,1995-2020,CNRM-ESM2-1,3460,26
presente,present,1995-2020,EC-Earth3-Veg,3460,26
presente,present,1995-2020,IITM-ESM,3460,26
presente,present,1995-2020,KACE-1-0-G,3460,26
presente,present,1995-2020,MIROC6,3460,26
presente,present,1995-2020,MPI-ESM1-2-HR,3460,26
presente,present,1995-2020,MRI-ESM2-0,3460,26
presente,present,1995-2020,NorESM2-MM,3460,26
presente,present,1995-2020,UKESM1-0-LL,3460,26
ssp126,far,2071-2100,ACCESS-CM2,3460,30
ssp126,far,2071-2100,CMCC-CM2-SR5,3460,30
ssp126,far,2071-2100,CNRM-ESM2-1,3460,30
ssp126,far,2071-2100,EC-Earth3-Veg,3460,30
ssp126,far,2071-2100,IITM-ESM,3460,29
ssp126,far,2071-2100,KACE-1-0-G,3460,30
ssp126,far,2071-2100,MIROC6,3460,30
ssp126,far,2071-2100,MPI-ESM1-2-HR,3460,30
ssp126,far,2071-2100,MRI-ESM2-0,3460,30
ssp126,far,2071-2100,NorESM2-MM,3460,30
ssp126,far,2071-2100,UKESM1-0-LL,3460,30
ssp126,near,2041-2070,ACCESS-CM2,3460,30
ssp126,near,2041-2070,CMCC-CM2-SR5,3460,30
ssp126,near,2041-2070,CNRM-ESM2-1,3460,30
ssp126,near,2041-2070,EC-Earth3-Veg,3460,30
ssp126,near,2041-2070,IITM-ESM,3460,30
ssp126,near,2041-2070,KACE-1-0-G,3460,30
ssp126,near,2041-2070,MIROC6,3460,30
ssp126,near,2041-2070,MPI-ESM1-2-HR,3460,30
ssp126,near,2041-2070,MRI-ESM2-0,3460,30
ssp126,near,2041-2070,NorESM2-MM,3460,30
ssp126,near,2041-2070,UKESM1-0-LL,3460,30
ssp126,nearterm,2021-2040,ACCESS-CM2,3460,20
ssp126,nearterm,2021-2040,CMCC-CM2-SR5,3460,20
ssp126,nearterm,2021-2040,CNRM-ESM2-1,3460,20
ssp126,nearterm,2021-2040,EC-Earth3-Veg,3460,20
ssp126,nearterm,2021-2040,IITM-ESM,3460,20
ssp126,nearterm,2021-2040,KACE-1-0-G,3460,20
ssp126,nearterm,2021-2040,MIROC6,3460,20
ssp126,nearterm,2021-2040,MPI-ESM1-2-HR,3460,20
ssp126,nearterm,2021-2040,MRI-ESM2-0,3460,20
ssp126,nearterm,2021-2040,NorESM2-MM,3460,20
ssp126,nearterm,2021-2040,UKESM1-0-LL,3460,20
ssp245,far,2071-2100,ACCESS-CM2,3460,30
ssp245,far,2071-2100,CMCC-CM2-SR5,3460,30
ssp245,far,2071-2100,CNRM-ESM2-1,3460,30
ssp245,far,2071-2100,EC-Earth3-Veg,3460,30
ssp245,far,2071-2100,IITM-ESM,3460,29
ssp245,far,2071-2100,KACE-1-0-G,3460,30
ssp245,far,2071-2100,MIROC6,3460,30
ssp245,far,2071-2100,MPI-ESM1-2-HR,3460,30
ssp245,far,2071-2100,MRI-ESM2-0,3460,30
ssp245,far,2071-2100,NorESM2-MM,3460,30
ssp245,far,2071-2100,UKESM1-0-LL,3460,30
ssp245,near,2041-2070,ACCESS-CM2,3460,30
ssp245,near,2041-2070,CMCC-CM2-SR5,3460,30
ssp245,near,2041-2070,CNRM-ESM2-1,3460,30
ssp245,near,2041-2070,EC-Earth3-Veg,3460,30
ssp245,near,2041-2070,IITM-ESM,3460,30
ssp245,near,2041-2070,KACE-1-0-G,3460,30
ssp245,near,2041-2070,MIROC6,3460,30
ssp245,near,2041-2070,MPI-ESM1-2-HR,3460,30
ssp245,near,2041-2070,MRI-ESM2-0,3460,30
ssp245,near,2041-2070,NorESM2-MM,3460,30
ssp245,near,2041-2070,UKESM1-0-LL,3460,30
ssp245,nearterm,2021-2040,ACCESS-CM2,3460,20
ssp245,nearterm,2021-2040,CMCC-CM2-SR5,3460,20
ssp245,nearterm,2021-2040,CNRM-ESM2-1,3460,20
ssp245,nearterm,2021-2040,EC-Earth3-Veg,3460,20
ssp245,nearterm,2021-2040,IITM-ESM,3460,20
ssp245,nearterm,2021-2040,KACE-1-0-G,3460,20
ssp245,nearterm,2021-2040,MIROC6,3460,20
ssp245,nearterm,2021-2040,MPI-ESM1-2-HR,3460,20
ssp245,nearterm,2021-2040,MRI-ESM2-0,3460,20
ssp245,nearterm,2021-2040,NorESM2-MM,3460,20
ssp245,nearterm,2021-2040,UKESM1-0-LL,3460,20
ssp370,far,2071-2100,ACCESS-CM2,3460,30
ssp370,far,2071-2100,CMCC-CM2-SR5,3460,30
ssp370,far,2071-2100,CNRM-ESM2-1,3460,30
ssp370,far,2071-2100,EC-Earth3-Veg,3460,30
ssp370,far,2071-2100,IITM-ESM,3460,28
ssp370,far,2071-2100,KACE-1-0-G,3460,30
ssp370,far,2071-2100,MIROC6,3460,30
ssp370,far,2071-2100,MPI-ESM1-2-HR,3460,30
ssp370,far,2071-2100,MRI-ESM2-0,3460,30
ssp370,far,2071-2100,NorESM2-MM,3460,30
ssp370,far,2071-2100,UKESM1-0-LL,3460,30
ssp370,near,2041-2070,ACCESS-CM2,3460,30
ssp370,near,2041-2070,CMCC-CM2-SR5,3460,30
ssp370,near,2041-2070,CNRM-ESM2-1,3460,30
ssp370,near,2041-2070,EC-Earth3-Veg,3460,30
ssp370,near,2041-2070,IITM-ESM,3460,30
ssp370,near,2041-2070,KACE-1-0-G,3460,30
ssp370,near,2041-2070,MIROC6,3460,30
ssp370,near,2041-2070,MPI-ESM1-2-HR,3460,30
ssp370,near,2041-2070,MRI-ESM2-0,3460,30
ssp370,near,2041-2070,NorESM2-MM,3460,30
ssp370,near,2041-2070,UKESM1-0-LL,3460,30
ssp370,nearterm,2021-2040,ACCESS-CM2,3460,20
ssp370,nearterm,2021-2040,CMCC-CM2-SR5,3460,20
ssp370,nearterm,2021-2040,CNRM-ESM2-1,3460,20
ssp370,nearterm,2021-2040,EC-Earth3-Veg,3460,20
ssp370,nearterm,2021-2040,IITM-ESM,3460,20
ssp370,nearterm,2021-2040,KACE-1-0-G,3460,20
ssp370,nearterm,2021-2040,MIROC6,3460,20
ssp370,nearterm,2021-2040,MPI-ESM1-2-HR,3460,20
ssp370,nearterm,2021-2040,MRI-ESM2-0,3460,20
ssp370,nearterm,2021-2040,NorESM2-MM,3460,20
ssp370,nearterm,2021-2040,UKESM1-0-LL,3460,20
