metric,value,scenario
total_cropland_km2,229675.901624189,ssp370
lost_km2,45103.1484768347,ssp370
rescued_km2,23309.5467376986,ssp370
gone_km2,21793.6017391361,ssp370
rescued_pct_of_lost,51.680531237571,ssp370
murcia_stations,154,ssp370
toe_pct_lost_bulida,19.6378111103897,ssp370
toe_pct_lost_precoz,9.48884997730246,ssp370
obs_baseline_mean_CP,73.9899,ssp370
obs_baseline_sd_CP,1.8758,ssp370
obs_recent_anom_CP,-3.6535,ssp370
obs_recent_sd,-1.9477,ssp370
obs_recent_in_10_mildest,4,ssp370
obs_p_exchangeable,0.0041,ssp370
murcia_median_far,35.85,ssp370
murcia_below_precoz_pct,48.0519480519481,ssp370
murcia_below_bulida_pct,68.8311688311688,ssp370
baseline_already_lost_km2,4778.78823504452,ssp370
warming_lost_km2,40324.3602417902,ssp370
warming_rescued_pct,47.0649058486514,ssp370
warming_rescued_km2,18978.6221818696,ssp370
obs_baseline_first_year,1976,ssp370
obs_baseline_n_seasons,45,ssp370
obs_blocks_as_mild,0,ssp370
obs_n_baseline_blocks,41,ssp370
obs_record_n_seasons,50,ssp370
obs_record_last_year,2025,ssp370
nearterm_marginal_stations,446,ssp370
nearterm_spread_scenarios_CP,2.715,ssp370
nearterm_spread_models_CP,13.39,ssp370
nearterm_models_favouring_ssp370,4,ssp370
nearterm_sign_test_p,0.548828125,ssp370
nearterm_order_models_first_CP,2.3,ssp370
nearterm_order_stations_first_CP,-0.689999999999998,ssp370
nearterm_within_model_range_CP,3.92,ssp370
nearterm_coldest_is_ssp126,4,ssp370
nearterm_coldest_is_ssp245,4,ssp370
nearterm_coldest_is_ssp370,3,ssp370
