situation,label,n_stations,crop_km2_both,crop_km2_only_precoz,crop_km2_none,pct_both,pct_only_precoz,pct_none,swc_median
observaciones_present,Observado 1995-2020,3044,227287.21798664,2215.95228203095,172.731355518155,98.9599763751194,0.964817060196779,0.0752065646838254,74.0763308554179
presente_present,"Modelo, línea base 1995-2020",3460,224897.113389144,4330.92455582905,447.863679215469,97.9193340697694,1.88566781503947,0.194998115191159,73.8743718356472
presente_current,"Modelo, clima actual 1995-2025",3460,224315.394349947,4841.9393084315,518.567965810133,97.6660558481173,2.10816166354022,0.225782488342486,73.8132696728152
observaciones_obsref,Observado 1991-2020,3044,227654.212681053,1876.65745224215,145.031490893537,99.1197644468405,0.817089402488933,0.0631461506705425,74.1708447024039
historical_ref,Histórico simulado 1985-2014,3460,225935.258083133,3413.61874275129,327.024798304685,98.3713382576912,1.48627640889243,0.142385333416383,74.0670202363684
pooled_nearterm,2021-2040 · los 3 escenarios juntos,3460,221381.609407701,7492.54470544154,801.747511046626,96.388697221679,3.26222501031098,0.349077768010028,73.551115394122
ssp126_nearterm,SSP1-2.6 · 2021-2040,3460,220960.380184485,7922.1557432851,793.365696419153,96.2052956457029,3.44927599598493,0.345428358312189,73.4230340075179
ssp245_nearterm,SSP2-4.5 · 2021-2040,3460,219054.482908701,9729.1299355578,892.288779929876,95.3754753370394,4.23602557636946,0.388499086591113,73.61046552425
ssp370_nearterm,SSP3-7.0 · 2021-2040,3460,223167.873409327,5795.07746991829,712.950744943237,97.1664296650894,2.52315433571285,0.31041599919778,73.5819862288405
ssp126_near,SSP1-2.6 · 2041-2070,3460,212423.071652902,15305.6672551002,1947.16271618642,92.4881845029102,6.66402837514244,0.847787121947387,72.3293579061858
ssp245_near,SSP2-4.5 · 2041-2070,3460,210516.218158521,17153.7517997985,2005.93166586984,91.6579478603643,7.46867724410488,0.873374895530868,72.1937404558804
ssp370_near,SSP3-7.0 · 2041-2070,3460,208078.319713336,18707.1261245989,2890.45578625426,90.5964962984264,8.14501042221174,1.2584932793619,72.0096344288295
ssp126_far,SSP1-2.6 · 2071-2100,3460,209911.350791405,17640.1641920367,2124.38664074674,91.3945909461919,7.68045931997719,0.924949733830938,71.8272280794732
ssp245_far,SSP2-4.5 · 2071-2100,3460,201836.052760496,22376.2037163729,5463.64514732014,87.8786373899834,9.74251262676497,2.37884998325167,70.1317278195509
ssp370_far,SSP3-7.0 · 2071-2100,3460,184572.753147354,23309.5467376986,21793.6017391361,80.3622634512891,10.1488865714085,9.48884997730246,65.1446105075141
