metric,value
idw_rmse_base_CP,5.5
idw_mae_base_CP,3.46
idw_r_base,0.868
idw_pct_of_gap_base,39.8
idw_n_stations_base,3151
idw_band_pct_base,5.5
idw_band_km2_base,12541
idw_rmse_far_CP,6.44
idw_mae_far_CP,4.39
idw_r_far,0.933
idw_pct_of_gap_far,46.7
idw_n_stations_far,3151
idw_band_pct_far,22.7
idw_band_km2_far,52173
spread_none_min_km2,4983
spread_none_max_km2,75951
spread_none_ratio,15.2
spread_only_min_km2,18439
spread_only_max_km2,48856
spread_both_min_km2,104869
spread_both_max_km2,201812
spread_n_models,11
agg_both_median_first_km2,184573
agg_both_classify_first_km2,182429
agg_both_shift_pct,-1.2
agg_only_median_first_km2,23310
agg_only_classify_first_km2,24325
agg_only_shift_pct,4.4
agg_none_median_first_km2,21794
agg_none_classify_first_km2,21116
agg_none_shift_pct,-3.1
agg_max_abs_shift_pct,4.4
agg_headline_median_first_pct,51.7
agg_headline_classify_first_pct,52.1
agg_headline_shift_points,0.4
far_pct_both,80.4
far_pct_only,10.1
far_pct_none,9.5
far_swc_median_CP,65.1
base_swc_median_CP,73.9
obs_swc_median_CP,74.1
